Country,Region,Hemisphere,HappinessScore,HDI,GDP_PerCapita,Drink_type,Servings
Denmark,Western Europe,north,7.526,928,53.579,Beer_PerCapita,224
Denmark,Western Europe,north,7.526,928,53.579,Spirit_PerCapita,81
Denmark,Western Europe,north,7.526,928,53.579,Wine_PerCapita,278
Switzerland,Western Europe,north,7.509,943,79.866,Beer_PerCapita,185
Switzerland,Western Europe,north,7.509,943,79.866,Spirit_PerCapita,100
Switzerland,Western Europe,north,7.509,943,79.866,Wine_PerCapita,280
Iceland,Western Europe,north,7.501,933,60.53,Beer_PerCapita,233
Iceland,Western Europe,north,7.501,933,60.53,Spirit_PerCapita,61
Iceland,Western Europe,north,7.501,933,60.53,Wine_PerCapita,78
Norway,Western Europe,north,7.498,951,70.89,Beer_PerCapita,169
Norway,Western Europe,north,7.498,951,70.89,Spirit_PerCapita,71
Norway,Western Europe,north,7.498,951,70.89,Wine_PerCapita,129
Finland,Western Europe,north,7.413,918,43.433,Beer_PerCapita,263
Finland,Western Europe,north,7.413,918,43.433,Spirit_PerCapita,133
Finland,Western Europe,north,7.413,918,43.433,Wine_PerCapita,97
Canada,North America,north,7.404,922,42.349,Beer_PerCapita,240
Canada,North America,north,7.404,922,42.349,Spirit_PerCapita,122
Canada,North America,north,7.404,922,42.349,Wine_PerCapita,100
Netherlands,Western Europe,north,7.339,928,45.638,Beer_PerCapita,251
Netherlands,Western Europe,north,7.339,928,45.638,Spirit_PerCapita,88
Netherlands,Western Europe,north,7.339,928,45.638,Wine_PerCapita,190
New Zealand,Australia and New Zealand,south,7.334,915,40.332,Beer_PerCapita,203
New Zealand,Australia and New Zealand,south,7.334,915,40.332,Spirit_PerCapita,79
New Zealand,Australia and New Zealand,south,7.334,915,40.332,Wine_PerCapita,175
Australia,Australia and New Zealand,south,7.313,938,49.897,Beer_PerCapita,261
Australia,Australia and New Zealand,south,7.313,938,49.897,Spirit_PerCapita,72
Australia,Australia and New Zealand,south,7.313,938,49.897,Wine_PerCapita,212
Sweden,Western Europe,north,7.291,932,51.845,Beer_PerCapita,152
Sweden,Western Europe,north,7.291,932,51.845,Spirit_PerCapita,60
Sweden,Western Europe,north,7.291,932,51.845,Wine_PerCapita,186
Israel,Middle East and Northern Africa,north,7.267,902,37.181,Beer_PerCapita,63
Israel,Middle East and Northern Africa,north,7.267,902,37.181,Spirit_PerCapita,69
Israel,Middle East and Northern Africa,north,7.267,902,37.181,Wine_PerCapita,9
Austria,Western Europe,north,7.119,906,44.731,Beer_PerCapita,279
Austria,Western Europe,north,7.119,906,44.731,Spirit_PerCapita,75
Austria,Western Europe,north,7.119,906,44.731,Wine_PerCapita,191
United States,North America,north,7.104,922,57.589,Beer_PerCapita,249
United States,North America,north,7.104,922,57.589,Spirit_PerCapita,158
United States,North America,north,7.104,922,57.589,Wine_PerCapita,84
Costa Rica,Latin America and Caribbean,north,7.087,791,11.733,Beer_PerCapita,149
Costa Rica,Latin America and Caribbean,north,7.087,791,11.733,Spirit_PerCapita,87
Costa Rica,Latin America and Caribbean,north,7.087,791,11.733,Wine_PerCapita,11
Germany,Western Europe,north,6.994,934,42.233,Beer_PerCapita,346
Germany,Western Europe,north,6.994,934,42.233,Spirit_PerCapita,117
Germany,Western Europe,north,6.994,934,42.233,Wine_PerCapita,175
Brazil,Latin America and Caribbean,both,6.952,758,8.639,Beer_PerCapita,245
Brazil,Latin America and Caribbean,both,6.952,758,8.639,Spirit_PerCapita,145
Brazil,Latin America and Caribbean,both,6.952,758,8.639,Wine_PerCapita,16
Belgium,Western Europe,north,6.929,915,41.261,Beer_PerCapita,295
Belgium,Western Europe,north,6.929,915,41.261,Spirit_PerCapita,84
Belgium,Western Europe,north,6.929,915,41.261,Wine_PerCapita,212
Ireland,Western Europe,north,6.907,934,64.1,Beer_PerCapita,313
Ireland,Western Europe,north,6.907,934,64.1,Spirit_PerCapita,118
Ireland,Western Europe,north,6.907,934,64.1,Wine_PerCapita,165
Luxembourg,Western Europe,north,6.871,904,100.739,Beer_PerCapita,236
Luxembourg,Western Europe,north,6.871,904,100.739,Spirit_PerCapita,133
Luxembourg,Western Europe,north,6.871,904,100.739,Wine_PerCapita,271
Mexico,Latin America and Caribbean,north,6.778,772,8.444,Beer_PerCapita,238
Mexico,Latin America and Caribbean,north,6.778,772,8.444,Spirit_PerCapita,68
Mexico,Latin America and Caribbean,north,6.778,772,8.444,Wine_PerCapita,5
Singapore,Southeastern Asia,north,6.739,930,55.243,Beer_PerCapita,60
Singapore,Southeastern Asia,north,6.739,930,55.243,Spirit_PerCapita,12
Singapore,Southeastern Asia,north,6.739,930,55.243,Wine_PerCapita,11
United Kingdom,Western Europe,north,6.725,920,40.412,Beer_PerCapita,219
United Kingdom,Western Europe,north,6.725,920,40.412,Spirit_PerCapita,126
United Kingdom,Western Europe,north,6.725,920,40.412,Wine_PerCapita,195
Chile,Latin America and Caribbean,south,6.705,842,13.961,Beer_PerCapita,130
Chile,Latin America and Caribbean,south,6.705,842,13.961,Spirit_PerCapita,124
Chile,Latin America and Caribbean,south,6.705,842,13.961,Wine_PerCapita,172
