country,total_litres_of_pure_alcohol,drink_type,servings
Afghanistan,0,beer_servings,0
Afghanistan,0,spirit_servings,0
Afghanistan,0,wine_servings,0
Albania,4.9,beer_servings,89
Albania,4.9,spirit_servings,132
Albania,4.9,wine_servings,54
Algeria,0.7,beer_servings,25
Algeria,0.7,spirit_servings,0
Algeria,0.7,wine_servings,14
Andorra,12.4,beer_servings,245
Andorra,12.4,spirit_servings,138
Andorra,12.4,wine_servings,312
Angola,5.9,beer_servings,217
Angola,5.9,spirit_servings,57
Angola,5.9,wine_servings,45
Antigua & Barbuda,4.9,beer_servings,102
Antigua & Barbuda,4.9,spirit_servings,128
Antigua & Barbuda,4.9,wine_servings,45
Argentina,8.3,beer_servings,193
Argentina,8.3,spirit_servings,25
Argentina,8.3,wine_servings,221
Armenia,3.8,beer_servings,21
Armenia,3.8,spirit_servings,179
Armenia,3.8,wine_servings,11
Australia,10.4,beer_servings,261
Australia,10.4,spirit_servings,72
Australia,10.4,wine_servings,212
Austria,9.7,beer_servings,279
Austria,9.7,spirit_servings,75
Austria,9.7,wine_servings,191
Azerbaijan,1.3,beer_servings,21
Azerbaijan,1.3,spirit_servings,46
Azerbaijan,1.3,wine_servings,5
Bahamas,6.3,beer_servings,122
Bahamas,6.3,spirit_servings,176
Bahamas,6.3,wine_servings,51
Bahrain,2,beer_servings,42
Bahrain,2,spirit_servings,63
Bahrain,2,wine_servings,7
Bangladesh,0,beer_servings,0
Bangladesh,0,spirit_servings,0
Bangladesh,0,wine_servings,0
Barbados,6.3,beer_servings,143
Barbados,6.3,spirit_servings,173
Barbados,6.3,wine_servings,36
Belarus,14.4,beer_servings,142
Belarus,14.4,spirit_servings,373
Belarus,14.4,wine_servings,42
Belgium,10.5,beer_servings,295
Belgium,10.5,spirit_servings,84
Belgium,10.5,wine_servings,212
Belize,6.8,beer_servings,263
Belize,6.8,spirit_servings,114
Belize,6.8,wine_servings,8
Benin,1.1,beer_servings,34
Benin,1.1,spirit_servings,4
Benin,1.1,wine_servings,13
Bhutan,0.4,beer_servings,23
Bhutan,0.4,spirit_servings,0
Bhutan,0.4,wine_servings,0
Bolivia,3.8,beer_servings,167
Bolivia,3.8,spirit_servings,41
Bolivia,3.8,wine_servings,8
Bosnia-Herzegovina,4.6,beer_servings,76
Bosnia-Herzegovina,4.6,spirit_servings,173
Bosnia-Herzegovina,4.6,wine_servings,8
Botswana,5.4,beer_servings,173
Botswana,5.4,spirit_servings,35
Botswana,5.4,wine_servings,35
Brazil,7.2,beer_servings,245
Brazil,7.2,spirit_servings,145
Brazil,7.2,wine_servings,16
Brunei,0.6,beer_servings,31
Brunei,0.6,spirit_servings,2
Brunei,0.6,wine_servings,1
Bulgaria,10.3,beer_servings,231
Bulgaria,10.3,spirit_servings,252
Bulgaria,10.3,wine_servings,94
Burkina Faso,4.3,beer_servings,25
